name,date,price,pre_price_1,pre_price_2,pre_price_3,pre_price_4,pre_price_5,pre_price_6,pre_price_7,pre_price_8,pre_price_9,pre_price_10,pre_price_11,pre_price_12,pre_price_13,pre_price_14,pre_price_15,pre_price_16,pre_price_17,pre_price_18,pre_price_19,pre_price_20,pre_price_21,pre_price_22,pre_price_23,pre_price_24,pre_price_25,pre_price_26,pre_price_27,pre_price_28,pre_price_29,pre_price_30,pre_price_31,pre_price_32,pre_price_33,pre_price_34,pre_price_35,pre_price_36,pre_price_37,pre_price_38,pre_price_39,pre_price_40,pre_price_41,pre_price_42,pre_price_43,pre_price_44,pre_price_45,pre_price_46,pre_price_47,pre_price_48,pre_price_49,pre_price_50,pre_price_51,pre_price_52,pre_price_53,pre_price_54,pre_price_55,pre_price_56,pre_price_57,pre_price_58,pre_price_59,pre_price_60,pre_price_61,pre_price_62,pre_price_63,pre_price_64,pre_price_65,pre_price_66,pre_price_67,pre_price_68,pre_price_69,pre_price_70,pre_price_71,pre_price_72,pre_price_73,pre_price_74,pre_price_75,pre_price_76,pre_price_77,pre_price_78,pre_price_79,pre_price_80,pre_price_81,pre_price_82,pre_price_83,pre_price_84,pre_price_85,pre_price_86,pre_price_87,pre_price_88,pre_price_89,pre_price_90,pre_price_91,pre_price_92,pre_price_93,pre_price_94,pre_price_95,pre_price_96,pre_price_97,pre_price_98,pre_price_99,pre_price_100
矮脚白菜,2016/04/14,3.2,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4
矮脚白菜,2016/04/15,3.2,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2
矮脚白菜,2016/04/16,3.2,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2
矮脚白菜,2016/04/17,3.2,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2
矮脚白菜,2016/04/18,3.2,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2
矮脚白菜,2016/04/19,3.2,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2
矮脚白菜,2016/04/20,3.2,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2
矮脚白菜,2016/04/21,3.2,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2
矮脚白菜,2016/04/22,3.3,2.8,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2
矮脚白菜,2016/04/23,3.4,2.8,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3
矮脚白菜,2016/04/24,3.4,2.8,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4
矮脚白菜,2016/04/25,3.3,2.8,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4
矮脚白菜,2016/04/26,3.3,2.8,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3
矮脚白菜,2016/04/27,3.3,2.8,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3
矮脚白菜,2016/04/28,3.3,2.6,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3
矮脚白菜,2016/04/29,3.3,2.6,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3
矮脚白菜,2016/04/30,3.3,2.6,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3
矮脚白菜,2016/05/01,3.4,2.6,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3
矮脚白菜,2016/05/02,3.4,2.7,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4
矮脚白菜,2016/05/03,3.3,2.9,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4
矮脚白菜,2016/05/04,3.3,3.0,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3
矮脚白菜,2016/05/05,3.4,3.1,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3
矮脚白菜,2016/05/06,3.4,3.1,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.4
矮脚白菜,2016/05/07,3.3,3.6,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.4,3.4
矮脚白菜,2016/05/08,3.2,3.6,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.4,3.4,3.3
矮脚白菜,2016/05/09,3.4,3.8,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.4,3.4,3.3,3.2
矮脚白菜,2016/05/10,3.1,4.3,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.4,3.4,3.3,3.2,3.4
矮脚白菜,2016/05/11,3.2,4.3,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.4,3.4,3.3,3.2,3.4,3.1
矮脚白菜,2016/05/12,3.1,4.5,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.4,3.4,3.3,3.2,3.4,3.1,3.2
矮脚白菜,2016/05/13,3.2,4.8,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.4,3.4,3.3,3.2,3.4,3.1,3.2,3.1
矮脚白菜,2016/05/14,3.1,5.0,5.0,5.7,5.8,6.3,7.0,6.9,6.5,7.5,7.5,7.6,8.0,6.6,6.3,6.3,6.5,6.8,6.5,6.5,6.6,6.5,6.3,6.5,6.3,6.5,6.5,6.5,6.7,7.0,7.3,7.4,7.2,7.4,7.0,6.7,6.4,6.0,5.8,5.5,5.3,5.3,5.3,5.0,4.8,4.5,4.3,4.3,4.5,4.3,4.2,4.3,4.0,3.8,3.9,3.8,3.6,4.0,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.3,4.0,3.8,3.6,3.4,3.4,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.4,3.4,3.3,3.3,3.4,3.4,3.3,3.2,3.4,3.1,3.2,3.1,3.2
